Name;	Street;	Zip;	City;	Longitude;	Latitude;	Phone;	Web;	PhotoLink;	Monday;	Tuesday;	Wednesday;	Thursday;	Friday;	Saturday;	Sunday
Gratowisko - punkt selektywnego zbierania odpadów;	Wrzesińska 12;	61-021;	Poznań;	52.418953599999995;	16.978634;	616110811;	https://www.zzo.pl/pl/o-nas/informacje-ogolne/10-pl/zakres-dzialalnosci/6-punkt-selektywnego-zbierania-odpadow-komunalnych-gratowisko;	https://lh5.googleusercontent.com/p/AF1QipN5TjD1757pNYnwI7j9PBbUAnMKOjfp7GNA5sqY=s0;	10:00–18:00;	08:00–16:00;	10:00–18:00;	08:00–16:00;	10:00–18:00;	08:00–14:00;	Zamknięte
Punkt Selektywnej Zbiórki Odpadów Komunalnych dla mieszkańców Gminy Środa Wielkopolska;	Nad Strugą 7;	63-000;	Środa Wielkopolska;	52.214954;	17.28614349999999;	null;	http://uk-sroda.pl;	https://lh5.googleusercontent.com/p/AF1QipMAJuA5pjVzreSgAIutRZJt2wQYrxnBdA2UGQ6p=s0;	06:00–20:00;	06:00–20:00;	06:00–20:00;	06:00–20:00;	06:00–20:00;	06:00–13:00;	Zamknięte
Punkt Selektywnego Zbierania Odpadów Komunalnych w Czołowie;	null;	62-035;	Czołowo;	52.219525499999996;	17.056598;	500173983;	https://www2.kornik.pl/odpady/Kontakt_3/;	null;	07:00–16:30;	Zamknięte;	09:00–16:30;	09:00–16:30;	09:00–16:30;	08:00–14:00;	Zamknięte
PSZOK Punkt selektywnej zbiórki odpadów komunalnych;	Lotnicza 33a;	63-410;	Ostrów Wielkopolski;	51.660798;	17.796199;	627372017;	null;	https://lh5.googleusercontent.com/p/AF1QipNWng9BCWLBh5jR2Bm6JwgUJ0NMYDjFfF1l4D-R=s0;	Zamknięte;	07:30–16:30;	07:30–16:30;	07:30–16:30;	07:30–16:30;	09:00–13:00;	Zamknięte
Punkt Selektywnej Zbiórki Odpadów Komunalnych – PSZOK w Plewiskach,;	Kolejowa;	62-064;	Plewiska;	52.3701544;	16.804526;	null;	https://www.komorniki.pl/asp/pl_start.asp?pol=2&typ=14&sub=21&subsub=84&menu=334&strona=1;	https://lh5.googleusercontent.com/p/AF1QipPyy6Lj-MlTSD95zdB5LRRmsVEWhoT9UgYE0ool=s0;	15:00–18:00;	15:00–18:00;	09:00–12:00;	15:00–18:00;	15:00–19:00;	10:00–14:00;	Zamknięte
PSZOK dla gminy Suchy Las;	Golęczewska 22a;	62-001;	Chludowo;	52.550289899999996;	16.82898;	691150250;	http://zgksuchylas.eu/index.php/pszok/stacjonarny/zasady-odbioru;	https://lh5.googleusercontent.com/p/AF1QipOCjBjfR16WyNKmVR8T5QzcBVR1w2HvvxiJuK5t=s0;	08:00–17:00;	08:00–15:00;	08:00–15:00;	08:00–15:00;	08:00–15:00;	09:00–12:00;	Zamknięte
Składowisko Odpadów Komunalnych Miasta Poznania;	Meteorytowa 1;	62-002;	Suchy Las;	52.4963202;	16.884705;	618119667;	http://www.zzo.pl/;	https://lh5.googleusercontent.com/p/AF1QipNSRhDouu6ceKC0jBC5bS8CzK7E1Kt9RSyUlMnh=s0;	10:00–18:00;	08:00–16:00;	10:00–18:00;	08:00–16:00;	10:00–18:00;	08:00–14:00;	Zamknięte
Wielkopolskie Centrum Recyklingu - Spółka z o.o. w Jarocinie;	Mariusza Małynicza 1;	63-200;	null;	51.9718897;	17.53675969999999;	627472456;	http://www.wcr-jarocin.pl/;	https://lh5.googleusercontent.com/p/AF1QipPLAW48n7NBzHhLjVNhpRJV_-jP2-IShqTxP4Vi=s0;	06:00–21:00;	06:00–21:00;	06:00–21:00;	06:00–21:00;	06:00–21:00;	08:00–14:00;	Zamknięte
Gratowisko- Punkt Selektywnego Zbierania Odpadów Komunalnych;	28 Czerwca 1956 r. 284;	61-472;	Poznań;	52.374943699999996;	16.90394599999999;	618332212;	http://www.odpady.poznan.pl/index.php?rsl=1&&pid=11111244;	https://lh5.googleusercontent.com/p/AF1QipOVqczCNQfmCKA_uCn42SS5phQHBgZmZIlGRh1w=s0;	10:00–18:00;	08:00–16:00;	10:00–18:00;	08:00–16:00;	10:00–18:00;	08:00–14:00;	Zamknięte
Punkt Selektywnej Zbiórki Odpadów Komunalnych;	Mateuszewo 8;	63-100;	Mateuszewo;	52.134005099999996;	17.105077;	null;	http://zgo-jarocin.pl/index.php/pszok-srem/;	https://lh5.googleusercontent.com/p/AF1QipNi8An3t1xQr_F0AM3ANYdg-G73ycVjXYAPBvOh=s0;	Zamknięte;	09:00–17:00;	09:00–17:00;	09:00–17:00;	09:00–17:00;	09:00–13:00;	Zamknięte
Gratowisko PSZOK;	Meteorytowa 1;	62-002;	Suchy Las;	52.497293199999994;	16.892255;	618119667;	https://www.zzo.pl/pl/zakres-dzialalnosci/pszok-punkt-selektywnego-zbierania-odpadow-komunalnych;	https://lh5.googleusercontent.com/p/AF1QipOjbxJhETbbAzD__t1UQcN4rpaBx6XY4Rm63ODH=s0;	10:00–18:00;	08:00–16:00;	10:00–18:00;	08:00–16:00;	10:00–18:00;	08:00–14:00;	Zamknięte
PSZOK;	Nadwarciańska 11b;	62-040;	Puszczykowo;	52.263890499999995;	16.873466;	null;	null;	null;	Zamknięte;	10:00–16:00;	15:00–19:00;	Zamknięte;	15:00–19:00;	10:00–16:00;	Zamknięte
Punkt Selektywnej Zbiórki Odpadów Komunalnych;	Topolowa 6;	62-090;	Bytkowo;	52.519426499999994;	16.763165;	null;	null;	null;	11:00–16:00;	11:00–17:00;	11:00–16:00;	11:00–17:00;	Zamknięte;	08:00–15:00;	Zamknięte
PSZOK Punkt Selektywnego Zbierania Odpadów Komunalnych w Zagorzynie;	Zagorzyn 57A;	62-812;	Jastrzębniki;	51.810131;	18.022746;	690348646;	null;	https://lh5.googleusercontent.com/p/AF1QipN5BrALuLqp71nFdbbW5EnSlR6cCVaI7TlzOuIe=s0;	Zamknięte;	Zamknięte;	14:00–17:00;	Zamknięte;	Zamknięte;	08:00–16:00;	Zamknięte
PSZOK Piła Punkt Selektywnej Zbiórki Odpadów Komunalnych;	Fritsa Philipsa;	64-920;	Piła;	53.1653653;	16.757494;	668860389;	null;	https://lh5.googleusercontent.com/p/AF1QipMCXk-JH0x6q6GamR-sIYjx2gYC567x-0VaNqsK=s0;	10:00–18:00;	10:00–18:00;	10:00–18:00;	10:00–18:00;	10:00–18:00;	10:00–14:00;	Zamknięte
MZO S.A. Zakład Oczyszczania i Gospodarki Odpadami;	Staroprzygodzka 138;	63-400;	Ostrów Wielkopolski;	51.6184806;	17.797828;	627353563;	https://mzo.com.pl;	https://lh5.googleusercontent.com/p/AF1QipP9PEW384Xn9tKcvawlGwzc1bLwnCqWYOocpe-N=s0;	null;	null;	null;	null;	null;	null;	null
Punkt Selektywnej Zbiórki Odpadów Komunalnych;	Kościańska 32;	62-065;	Grodzisk Wielkopolski;	52.2198996;	16.38275669999999;	null;	null;	https://lh5.googleusercontent.com/p/AF1QipPJZ6qbcM9ROXesrQ1mLFaPnAGkqs9hvtMMWaT7=s0;	Zamknięte;	15:00–19:00;	15:00–19:00;	Zamknięte;	15:00–19:00;	10:00–16:00;	Zamknięte
Składowisko Odpadów;	Unnamed Road;	62-010;	null;	52.4614322;	17.305561;	618177031;	https://zk-pobiedziska.pl/wydzialy/skladowisko-odpadow/;	https://lh5.googleusercontent.com/p/AF1QipNbEdpin5PKPm6DoRh9g5_NRQCdnNrjWVBx0NaQ=s0;	10:00–18:00;	Zamknięte;	Zamknięte;	09:00–15:00;	10:00–18:00;	08:00–14:00;	Zamknięte
PSZOK;	Unnamed Road;	64-500;	null;	52.642323;	16.59208;	612921808;	http://www.szamotuly.pl/pl/aktualnosci/pszok.html;	null;	Zamknięte;	09:00–17:00;	09:00–17:00;	09:00–17:00;	09:00–17:00;	10:00–14:00;	Zamknięte
Składowisko Odpadów Komunalnych;	Świerkowa 17;	62-020;	Rabowice;	52.3801378;	17.111890;	618173421;	https://spk.swarzedz.pl/pszok/;	null;	07:00–17:00;	07:00–17:00;	07:00–17:00;	07:00–17:00;	07:00–17:00;	Zamknięte;	Zamknięte
Punkty Selektywnego Zbierania Odpadów Komunalnych;	Wrzesińska 12;	61-021;	Poznań;	52.4189826;	16.979133;	616110811;	null;	null;	09:00–15:00;	09:00–15:00;	09:00–15:00;	09:00–15:00;	09:00–15:00;	Zamknięte;	Zamknięte
Mobilny PSZOK 3.08, godz. 8.00-8.20;	Unnamed Road;	61-245;	Poznań;	52.3877642;	17.00809;	null;	http://goap.org.pl/;	null;	null;	null;	null;	null;	null;	null;	null
PSZOK Kalisz;	Piwonicka 6;	62-800;	Kalisz;	51.7395413;	18.07192509999999;	625049766;	http://www.kalisz.pl/;	https://lh5.googleusercontent.com/p/AF1QipNWng9BCWLBh5jR2Bm6JwgUJ0NMYDjFfF1l4D-R=s0;	Zamknięte;	10:00–17:00;	Zamknięte;	10:00–17:00;	Zamknięte;	08:00–15:00;	Zamknięte
Miejski Zakład Gospodarki Odpadami Komunalnymi Sp. z o.o.;	Sulańska 13;	62-510;	Konin;	52.2776201;	18.278286;	632468179;	https://www.mzgok.konin.pl;	https://lh5.googleusercontent.com/p/AF1QipNHXj5n00VRVHhHotJoMsdDfUXjFXObSiXmZC04=s0;	06:00–21:30;	06:00–21:30;	06:00–21:30;	06:00–21:30;	06:00–21:30;	06:00–13:30;	Zamknięte
PSZOK Utylizacja bezpłatna odpadów dla mieszkańców Konina;	null;	62-500;	Konin;	52.2089676;	18.232036;	632428276;	null;	https://lh5.googleusercontent.com/p/AF1QipMjZW_eaQ1hfnLJVHeLR4ltc-Jtz4S_VjIRmELR=s0;	08:00–15:00;	08:00–15:00;	08:00–15:00;	08:00–15:00;	08:00–15:00;	Zamknięte;	Zamknięte
Punkt Selektywnego Zbierania Odpadów Komunalnych;	Osiniec 6;	62-200;	Gniezno;	52.518543799999996;	17.614209;	null;	https://pszok.gniezno.eu/;	https://lh5.googleusercontent.com/p/AF1QipNss711xSkk0dgYqroWc4_AyUp_uAZXJp1YLt9n=s0;	Zamknięte;	11:00–18:00;	Zamknięte;	11:00–18:00;	11:00–18:00;	08:00–14:00;	Zamknięte
Miejski Zakład Oczyszczania Sp. z o.o.;	Saperska 23;	64-100;	Leszno;	51.8281707;	16.586952;	655259282;	http://www.mzoleszno.com.pl/;	null;	07:00–18:00;	07:00–18:00;	07:00–18:00;	07:00–18:00;	07:00–18:00;	08:00–15:00;	Zamknięte
Kom-Lub sp. z o.o.;	Niepodległości 11;	62-030;	Luboń;	52.350593599999996;	16.891453;	618130551;	http://www.kom-lub.com.pl/;	https://lh5.googleusercontent.com/p/AF1QipNHcCjirdlzxPc-Uj2vEpxn5e1MBjHWBa0IbhAJ=s0;	07:00–15:00;	07:00–15:00;	07:00–15:00;	07:00–15:00;	07:00–15:00;	Zamknięte;	Zamknięte
